SampleDay,Date,Line,Specimen,Length,Width
1,2023-04-25,October 2022 deployment line,1,78,28
1,2023-04-25,October 2022 deployment line,2,72,29
1,2023-04-25,October 2022 deployment line,3,112,32
2,2023-05-10,October 2022 deployment line,1,148,48
2,2023-05-10,October 2022 deployment line,2,67,18
2,2023-05-10,October 2022 deployment line,3,34,10.5
2,2023-05-10,October 2022 deployment line,4,36,8
2,2023-05-10,October 2022 deployment line,5,56,25
3,2023-05-15,October 2022 deployment line,1,75,27
3,2023-05-15,October 2022 deployment line,2,97,31
3,2023-05-15,October 2022 deployment line,3,95,28
3,2023-05-15,October 2022 deployment line,4,85,28
3,2023-05-15,October 2022 deployment line,5,84,28
4,2023-05-23,October 2022 deployment line,1,54,22
4,2023-05-23,October 2022 deployment line,2,42,11
4,2023-05-23,October 2022 deployment line,3,72,20
4,2023-05-23,October 2022 deployment line,4,79,30
4,2023-05-23,October 2022 deployment line,5,81,30
5,2023-06-07,October 2022 deployment line,1,40,7
5,2023-06-07,October 2022 deployment line,2,53,22
5,2023-06-07,October 2022 deployment line,3,95,25
5,2023-06-07,October 2022 deployment line,4,110,34
5,2023-06-07,October 2022 deployment line,5,115,27
6,2023-06-15,October 2022 deployment line,1,67,20
6,2023-06-15,October 2022 deployment line,2,122,40
6,2023-06-15,October 2022 deployment line,3,89,32
6,2023-06-15,October 2022 deployment line,4,147,NA
6,2023-06-15,October 2022 deployment line,5,105,37
7,2023-06-29,October 2022 deployment line,1,183,34
7,2023-06-29,October 2022 deployment line,2,107,32.5
7,2023-06-29,October 2022 deployment line,3,146,35
7,2023-06-29,October 2022 deployment line,4,208,46
7,2023-06-29,October 2022 deployment line,5,139,46
2,2023-05-10,January 2023 deployment line,1,50,9
2,2023-05-10,January 2023 deployment line,2,29.5,5
2,2023-05-10,January 2023 deployment line,3,27,5.5
2,2023-05-10,January 2023 deployment line,4,37,9
2,2023-05-10,January 2023 deployment line,5,31,8
3,2023-05-15,January 2023 deployment line,1,64,16
3,2023-05-15,January 2023 deployment line,2,65,15
3,2023-05-15,January 2023 deployment line,3,92,19.5
3,2023-05-15,January 2023 deployment line,4,84,24.5
3,2023-05-15,January 2023 deployment line,5,51.5,16
4,2023-05-23,January 2023 deployment line,1,63.5,14.5
4,2023-05-23,January 2023 deployment line,2,57,16
4,2023-05-23,January 2023 deployment line,3,22,6
4,2023-05-23,January 2023 deployment line,4,63,15
4,2023-05-23,January 2023 deployment line,5,65,10.5
5,2023-06-07,January 2023 deployment line,1,38.5,12
5,2023-06-07,January 2023 deployment line,2,38,10
5,2023-06-07,January 2023 deployment line,3,34,10
5,2023-06-07,January 2023 deployment line,4,40,7.5
5,2023-06-07,January 2023 deployment line,5,33,17
6,2023-06-15,January 2023 deployment line,1,72,21
6,2023-06-15,January 2023 deployment line,2,87,30.5
6,2023-06-15,January 2023 deployment line,3,75,36
6,2023-06-15,January 2023 deployment line,4,70,31
6,2023-06-15,January 2023 deployment line,5,58,23.5
7,2023-06-29,January 2023 deployment line,1,97,30
7,2023-06-29,January 2023 deployment line,2,55,18
7,2023-06-29,January 2023 deployment line,3,36,20
7,2023-06-29,January 2023 deployment line,4,72,20.5
7,2023-06-29,January 2023 deployment line,5,40.5,10
